"","x"
"1","16"
"2","4"
"3","1"
"4","0"
"5","1"
"6","4"
"7","12"
"8","0"
"9","12"
"10","11"
"11","0"
"12","0"
"13","12"
"14","0"
"15","2"
"16","9"
"17","1"
"18","1"
"19","19"
"20","1"
"21","5"
"22","1"
"23","11"
"24","0"
"25","5"
"26","17"
"27","14"
"28","1"
"29","12"
"30","1"
"31","1"
"32","10"
"33","6"
"34","10"
"35","4"
"36","12"
"37","4"
"38","10"
"39","5"
"40","16"
"41","2"
"42","17"
"43","16"
"44","2"
"45","5"
"46","8"
"47","0"
"48","3"
"49","9"
"50","11"
"51","4"
"52","8"
"53","2"
"54","6"
"55","5"
"56","1"
"57","15"
"58","1"
"59","16"
"60","1"
"61","5"
"62","4"
"63","5"
"64","8"
"65","2"
"66","1"
"67","8"
"68","1"
"69","0"
"70","12"
"71","0"
"72","10"
"73","2"
"74","1"
"75","2"
"76","2"
"77","0"
"78","14"
"79","9"
"80","3"
"81","0"
"82","3"
"83","5"
"84","3"
"85","4"
"86","2"
"87","4"
"88","0"
"89","0"
"90","12"
"91","0"
"92","8"
"93","2"
"94","9"
"95","3"
"96","5"
"97","1"
"98","3"
"99","7"
"100","14"
"101","0"
"102","7"
"103","7"
"104","2"
"105","0"
"106","7"
"107","9"
"108","3"
"109","0"
"110","0"
"111","4"
"112","8"
"113","2"
"114","9"
"115","2"
"116","2"
"117","1"
"118","10"
"119","15"
"120","4"
"121","16"
"122","1"
"123","1"
"124","3"
"125","1"
"126","12"
"127","1"
"128","10"
"129","4"
"130","2"
"131","1"
"132","8"
"133","7"
"134","0"
"135","4"
"136","0"
"137","2"
"138","9"
"139","0"
"140","8"
"141","11"
"142","1"
"143","17"
"144","0"
"145","0"
"146","3"
"147","3"
"148","10"
"149","1"
"150","3"
"151","5"
"152","12"
"153","6"
"154","1"
"155","0"
"156","0"
"157","0"
"158","5"
"159","0"
"160","17"
"161","0"
"162","0"
"163","5"
"164","10"
"165","5"
"166","3"
"167","1"
"168","0"
"169","4"
"170","5"
"171","0"
"172","2"
"173","0"
"174","4"
"175","11"
"176","13"
"177","5"
"178","11"
"179","3"
"180","4"
"181","10"
"182","1"
"183","2"
"184","6"
"185","5"
"186","12"
"187","0"
"188","0"
"189","9"
"190","7"
"191","0"
"192","2"
"193","0"
"194","0"
"195","1"
"196","0"
"197","15"
"198","2"
"199","13"
"200","9"
"201","0"
"202","17"
"203","1"
"204","11"
"205","2"
"206","4"
"207","12"
"208","0"
"209","2"
"210","1"
"211","9"
"212","14"
"213","7"
"214","0"
"215","7"
"216","16"
"217","8"
"218","1"
"219","4"
"220","2"
"221","7"
"222","17"
"223","3"
"224","13"
"225","6"
"226","0"
"227","14"
"228","7"
"229","0"
"230","5"
"231","5"
"232","0"
"233","0"
"234","3"
"235","12"
"236","0"
"237","7"
"238","16"
"239","17"
"240","2"
"241","10"
"242","1"
"243","8"
"244","1"
"245","1"
"246","1"
"247","0"
"248","9"
"249","8"
"250","4"
"251","9"
"252","4"
"253","0"
"254","7"
"255","4"
"256","5"
"257","5"
"258","1"
"259","12"
"260","13"
"261","7"
"262","16"
"263","2"
"264","6"
"265","1"
"266","13"
"267","5"
"268","7"
"269","15"
"270","4"
"271","3"
"272","1"
"273","4"
"274","7"
"275","0"
"276","9"
"277","6"
"278","15"
"279","5"
"280","10"
"281","6"
"282","1"
"283","10"
"284","9"
"285","9"
"286","0"
"287","6"
"288","18"
"289","6"
"290","5"
"291","17"
"292","9"
"293","7"
"294","7"
"295","3"
"296","5"
"297","8"
"298","16"
"299","3"
"300","4"
"301","0"
"302","7"
"303","5"
"304","13"
"305","2"
"306","2"
"307","2"
"308","9"
"309","3"
"310","13"
"311","6"
"312","1"
"313","14"
"314","9"
"315","8"
"316","16"
"317","19"
"318","4"
"319","17"
"320","5"
"321","1"
"322","13"
"323","5"
"324","3"
"325","1"
"326","8"
"327","0"
"328","0"
"329","17"
"330","3"
"331","5"
"332","5"
"333","4"
"334","1"
"335","2"
"336","7"
"337","1"
"338","0"
"339","9"
"340","13"
"341","0"
"342","1"
"343","1"
"344","4"
"345","14"
"346","15"
"347","0"
"348","0"
"349","3"
"350","9"
"351","2"
"352","6"
"353","1"
"354","15"
"355","1"
"356","16"
"357","3"
"358","8"
"359","0"
"360","1"
"361","0"
"362","0"
"363","3"
"364","1"
"365","1"
"366","1"
"367","4"
"368","19"
"369","1"
"370","3"
"371","1"
"372","4"
"373","10"
"374","3"
"375","1"
"376","1"
"377","4"
"378","2"
"379","0"
"380","1"
"381","17"
"382","2"
"383","1"
"384","1"
"385","13"
"386","9"
"387","1"
"388","3"
"389","12"
"390","6"
"391","14"
"392","12"
"393","0"
"394","12"
"395","7"
"396","1"
"397","4"
"398","0"
"399","6"
"400","1"
"401","0"
"402","4"
"403","11"
"404","5"
"405","6"
"406","0"
"407","15"
"408","12"
"409","0"
"410","3"
"411","2"
"412","1"
"413","1"
"414","1"
"415","17"
"416","13"
"417","6"
"418","1"
"419","0"
"420","8"
"421","0"
"422","14"
"423","1"
"424","0"
"425","3"
"426","3"
"427","2"
"428","5"
"429","0"
"430","9"
"431","5"
"432","14"
"433","5"
"434","14"
"435","5"
"436","0"
"437","11"
"438","1"
"439","9"
"440","0"
"441","8"
"442","1"
"443","13"
"444","9"
"445","2"
"446","1"
"447","1"
"448","7"
"449","6"
"450","10"
"451","8"
"452","2"
"453","6"
"454","8"
"455","0"
"456","9"
"457","1"
"458","11"
"459","1"
"460","2"
"461","18"
"462","1"
"463","7"
"464","5"
"465","1"
"466","4"
"467","6"
"468","2"
"469","0"
"470","4"
"471","10"
"472","15"
"473","0"
"474","6"
"475","0"
"476","0"
"477","9"
"478","15"
"479","8"
"480","6"
"481","12"
"482","10"
"483","0"
"484","1"
"485","9"
"486","0"
"487","2"
"488","5"
"489","2"
"490","2"
"491","6"
"492","4"
"493","17"
"494","2"
"495","9"
"496","0"
"497","0"
"498","11"
"499","6"
"500","13"
"501","3"
"502","7"
"503","0"
"504","0"
"505","17"
"506","13"
"507","1"
"508","12"
"509","1"
"510","5"
"511","6"
"512","0"
"513","5"
"514","11"
"515","12"
"516","7"
"517","14"
"518","13"
"519","1"
"520","3"
"521","9"
"522","0"
"523","0"
"524","9"
"525","1"
"526","12"
"527","1"
"528","1"
"529","11"
"530","1"
"531","1"
"532","3"
"533","3"
"534","3"
"535","3"
"536","17"
"537","1"
"538","4"
"539","0"
"540","5"
"541","1"
"542","8"
"543","13"
"544","5"
"545","15"
"546","1"
"547","6"
"548","6"
"549","5"
"550","0"
"551","2"
"552","5"
"553","6"
"554","7"
"555","1"
"556","1"
"557","1"
"558","1"
"559","14"
"560","5"
"561","5"
"562","0"
"563","1"
"564","1"
"565","4"
"566","3"
"567","1"
"568","3"
"569","3"
"570","5"
"571","12"
"572","6"
"573","1"
"574","8"
"575","12"
"576","5"
"577","0"
"578","6"
"579","1"
